Date,Open,High,Low,Close,Adj Close,Volume
25-05-2017,984.85,999,982.11,993.38,993.38,4822000
26-05-2017,995,998.65,989.25,995.78,995.78,3469200
30-05-2017,996.51,1001.2,995.52,996.7,996.7,3263100
31-05-2017,1000,1000.12,982.16,994.62,994.62,3913100
01-06-2017,998.59,998.99,991.37,995.95,995.95,2454800
02-06-2017,998.99,1008.48,995.67,1006.73,1006.73,3752300
05-06-2017,1007.23,1013.21,1003.51,1011.34,1011.34,2719900
06-06-2017,1012,1016.5,1001.25,1003,1003,3346400
07-06-2017,1005.95,1010.25,1002,1010.07,1010.07,2823000
08-06-2017,1012.06,1013.61,1006.11,1010.27,1010.27,2767900
09-06-2017,1012.5,1012.99,927,978.31,978.31,7647700
12-06-2017,967,975.95,945,964.91,964.91,9447200
13-06-2017,977.99,984.5,966.1,980.79,980.79,4580000
14-06-2017,988.59,990.34,966.71,976.47,976.47,3974900
15-06-2017,958.7,965.73,950.86,964.17,964.17,5373900
16-06-2017,996,999.75,982,987.71,987.71,11472700
19-06-2017,1017,1017,989.9,995.17,995.17,5043400
20-06-2017,998,1004.88,992.02,992.59,992.59,4076800
21-06-2017,998.7,1002.72,992.65,1002.23,1002.23,2922500
22-06-2017,1002.23,1006.96,997.2,1001.3,1001.3,2253400
23-06-2017,1002.54,1004.62,998.02,1003.74,1003.74,2879100
26-06-2017,1008.5,1009.8,992,993.98,993.98,3386200
27-06-2017,990.69,998.8,976,976.78,976.78,3782400
28-06-2017,978.55,990.68,969.21,990.33,990.33,3737600
29-06-2017,979,987.56,965.25,975.93,975.93,4303000
30-06-2017,980.12,983.47,967.61,968,968,3390300
03-07-2017,972.79,974.49,951,953.66,953.66,2909100
05-07-2017,961.53,975,955.25,971.4,971.4,3653000
06-07-2017,964.66,974.4,959.02,965.14,965.14,3259600
07-07-2017,969.55,980.11,969.14,978.76,978.76,2643400
10-07-2017,985,999.44,983.5,996.47,996.47,3546300
11-07-2017,993,995.99,983.72,994.13,994.13,2982700
12-07-2017,1000.65,1008.55,998.1,1006.51,1006.51,3608600
13-07-2017,1004.62,1006.88,995.9,1000.63,1000.63,2880800
